id,card_number,address,rt_rw,zip_code,village,districts,city,province,out_date
1,2105011309110000,Dusun Yudha Putra,1/2,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-10-12
2,2105011309120000,Dusun Yudha Putra,4/3,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-08-13
3,2105011309130000,Dusun Sei Lakum,1/3,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-04-06
4,2105011309140000,Dusun Tebing Buluh,4/4,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-10-12
5,2105011309150000,Dusun Sei Lakum,1/4,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-08-13
6,2105011309160000,Dusun Tebing Buluh,4/5,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-04-06
7,2105011309170000,Dusun Yudha Putra,1/5,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-10-12
8,2105011309180000,Dusun Yudha Putra,4/6,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-08-13
9,2105011309190000,Dusun Sei Lakum,1/3,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-04-06
10,2105011309200000,Dusun Tebing Buluh,4/4,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-10-12
11,2105011309210000,Dusun Sei Lakum,1/4,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-08-13
12,2105011309220000,Dusun Tebing Buluh,4/5,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-04-06
13,2105011309230000,Dusun Yudha Putra,1/5,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-10-12
14,2105011309240000,Dusun Yudha Putra,4/6,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-08-13
15,2105011309250000,Dusun Sei Lakum,1/6,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-04-06
16,2105011309260000,Dusun Tebing Buluh,4/7,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-10-12
17,2105011309270000,Dusun Sei Lakum,1/4,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-08-13
18,2105011309280000,Dusun Tebing Buluh,4/5,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-04-06
19,2105011309290000,Dusun Yudha Putra,1/5,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-10-12
20,2105011309300000,Dusun Yudha Putra,4/6,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-08-13
21,2105011309310000,Dusun Sei Lakum,1/6,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-04-06
22,2105011309320000,Dusun Tebing Buluh,4/7,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-10-12
23,2105011309330000,Dusun Sei Lakum,1/7,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-08-13
24,2105011309340000,Dusun Tebing Buluh,4/8,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-04-06
25,2105011309350000,Dusun Yudha Putra,1/5,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-10-12
26,2105011309360000,Dusun Yudha Putra,4/6,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-08-13
27,2105011309370000,Dusun Sei Lakum,1/6,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-04-06
28,2105011309380000,Dusun Tebing Buluh,4/7,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-10-12
29,2105011309390000,Dusun Sei Lakum,1/7,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-08-13
30,2105011309400000,Dusun Tebing Buluh,4/8,79455,jelutung,pemangkat,sambas,Kalimantan Barat,2011-04-06
