id,nik,card_number,name,gender,birthplace,birthday,religion,qualification,profession_type,blood_group,marital_status,wedding_date,family_relationship,citizenship,passport_number,kitap_number,father_name,mother_name,life_status
1,6101051011010000,2105011309110000,SigitPratama,laki-laki,jelutung,1971-04-10,islam,sma,petani,A+,menikah,2003-11-11,Ayah / Kepala Keluarga,WNI,,,OlgaAbidah,KarinaAnindita,hidup
2,6101051011011000,2105011309110000,ArrivaldaRamadani,laki-laki,pemangkat,2003-11-11,islam,sd,pelajar,O,belum menikah,2003-11-12,Anak,WNI,,,SigitPratama,FajriAstuti,hidup
3,6101051011012000,2105011309110000,DerilandrySaputra,perempuan,jelutung,2005-06-15,islam,sd,pelajar,O,belum menikah,2003-11-13,Anak,WNI,,,SigitPratama,FajriAstuti,hidup
4,6101051011013000,2105011309110000,EdyJournalisanda,perempuan,pemangkat,2001-04-13,islam,smp,pelajar,O,belum menikah,2003-11-14,Anak,WNI,,,SigitPratama,FajriAstuti,hidup
5,6101051011014000,2105011309110000,FajriAstuti,perempuan,jelutung,1972-01-14,islam,sma,petani,B,menikah,2003-11-15,Ibu,WNI,,,DellaWijaya,AnggitaRahmasari,hidup
6,6101051011020000,2105011309120000,JeremiahAzzad,laki-laki,jelutung,1971-04-10,kristen,sma,petani,B,menikah,2003-11-16,Ayah / Kepala Keluarga,WNI,,,ZaraFikri,HannyFauziah,hidup
7,6101051011021000,2105011309120000,HafizhFachrully,laki-laki,jelutung,2003-11-11,kristen,sd,pelajar,B,belum menikah,2003-11-17,Anak,WNI,,,JeremiahAzzad,RamantaSoleha,hidup
8,6101051011022000,2105011309120000,AsyrafiNustantomo,laki-laki,pemangkat,2005-06-15,kristen,sd,pelajar,B,belum menikah,2003-11-18,Anak,WNI,,,JeremiahAzzad,RamantaSoleha,hidup
9,6101051011023000,2105011309120000,AlrendyTriutami,perempuan,jelutung,2001-04-13,kristen,smp,pelajar,A+,belum menikah,2003-11-19,Anak,WNI,,,JeremiahAzzad,RamantaSoleha,hidup
10,6101051011024000,2105011309120000,RamantaSoleha,perempuan,pemangkat,1972-01-14,kristen,sma,petani,,menikah,2003-11-20,Ibu,WNI,,,EvelinAdriarso,DisyaSilmiHerdani,hidup
11,6101051011026670,2105011309130000,BanniAisyah,laki-laki,jelutung,1971-04-10,budha,sma,petani,,menikah,2003-11-21,Ayah / Kepala Keluarga,WNI,,,GalihAzzahra,RadenHutauruk,hidup
12,6101051011028420,2105011309130000,FitraMustikawati,laki-laki,jelutung,2003-11-11,budha,sd,pelajar,,belum menikah,2003-11-22,Anak,WNI,,,BanniAisyah,MuhammadAlyani,hidup
13,6101051011030180,2105011309130000,FauzanChristine,perempuan,jelutung,2005-06-15,budha,sd,pelajar,,belum menikah,2003-11-23,Anak,WNI,,,BanniAisyah,MuhammadAlyani,hidup
14,6101051011031940,2105011309130000,ArioHutahaean,perempuan,pemangkat,2001-04-13,budha,smp,pelajar,,belum menikah,2003-11-24,Anak,WNI,,,BanniAisyah,MuhammadAlyani,hidup
15,6101051011033700,2105011309130000,MuhammadAlyani,perempuan,jelutung,1972-01-14,budha,sma,petani,O,menikah,2003-11-25,Ibu,WNI,,,KarlinaAnindya,AsriMiriamUmam,hidup
16,6101051011035460,2105011309140000,ArfanMutiara,laki-laki,pemangkat,1971-04-10,islam,sma,petani,O,menikah,2003-11-26,Ayah / Kepala Keluarga,WNI,,,PutrimaMaulidah,ElzaSaputri,hidup
17,6101051011037210,2105011309140000,AriyadiHarkart,laki-laki,jelutung,2003-11-11,islam,sd,pelajar,B+,belum menikah,2003-11-27,Anak,WNI,,,ArfanMutiara,ReynaldiSulistyaningra,hidup
18,6101051011038970,2105011309140000,EkaAruti,laki-laki,jelutung,2005-06-15,islam,sd,pelajar,B+,belum menikah,2003-11-28,Anak,WNI,,,ArfanMutiara,ReynaldiSulistyaningra,hidup
